compound_stem,SMILES,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
A00052363,CN(C)C(=O)CC1CC2(CCN(CC2)C(=O)N2CCCC2)Oc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00055639,Cc1c([nH]c2CC(CC(=O)c12)c1ccco1)C(=O)OCC1CCCO1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00064324,CNC(=O)CN1CCC11CCN(C1)C(=O)c1ccn(C)n1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00076817,Cn1cc(cn1)N1CCC2(CCN(C2)C(=O)c2ccncc2)C1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A00079315,CC(C)CN1CC2CN(CC2C1)S(=O)(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00106730,Fc1cccc(c1)-c1ccc2c(nnn2c1)C1CCCN1Cc1ccncc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00113255,CC1(CC2C(CCC3(C2=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C(C1)C(=O)O)C,0,0,0,0,0,0,0,0,0,0,0,0,0
A00118859,CCC1CCCCN1C(=O)c1sc2ncnc(N(CC)CC)c2c1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A00121219,O=C(CN1C(=O)NC2(CCSC2)C1=O)NCc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00131835,Cc1cc(nc(C)n1)C(=O)N1CCCC(C1)Nc1ccc(C)c(C)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00134822,Fc1cccc(c1)N1CC2(CCN(C2)C(=O)COc2ccccc2)CC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A00143808,C1CC(N(C1)C(=O)c1ccncc1)c1nnn2cc(ccc12)-c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00143970,COc1ccc2cc(ccc2c1)C(=O)C1CCCN(C1)C(=O)c1ccnn1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A00150611,CCS(=O)(=O)N1CCc2ncnc(C3CCOC3)c2CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00161828,CC1Cn2c(S1)nnc2-c1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00177377,Cc1ccc(cc1)S(=O)(=O)NCC[C@@]1(C)C2CCC1(C)C(=O)C2,0,0,0,0,0,0,0,0,0,0,0,0,0
A00183162,CCN(CC)C(=O)C1Cn2ccnc2C2(CCN(Cc3ccc(C)s3)CC2)O1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00186366,CCn1cc2CN(CC(COC)c2n1)C(=O)c1cscn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00197202,CC1CN(CC(C)O1)C(=O)c1ccc2OCOc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00199441,O=C(NC1COC2(C1)CCN(CC2)C(=O)c1cccnc1)c1ccccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00209323,CN(C1CCS(=O)(=O)C1)c1ncnc2sc3CCCc3c12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00213394,OC1CN=C2Sc3ccccc3N2C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00229314,CCOC(=O)N1CCN(CC1)C(=O)C1CCC(=O)N(CCCc2ccccc2)C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00233928,CSc1ccc(cc1)C(=O)C1CCCN(Cc2cccnc2)C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00234308,Cc1ccc(o1)C(=O)N1CCOC2CCC1C2Oc1ncccc1F,0,0,0,0,0,0,0,0,0,0,0,0,0
A00243300,O=C(CN1CCCC1c1ccc2OCCOc2c1)NC(=O)Nc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00303322,CCOC(=O)C1CCCN(C1)C1CCN(CC1)Cc1onc(n1)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00305620,COC(=O)C1SCC2N1C(=O)CN(Cc1ccc(F)cc1)C2=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A00324255,Cc1ccc(CS(=O)(=O)N2CCCC3(CCCC(=O)N3CC=C)C2)cc1,0,0,0,0,0,0,0,0,0,0,1,0,0
A00329786,Cc1ccc(nn1)N1CCC2(CC1)NC(=O)CC2c1cnn(C)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00331864,COc1ccc2N(C)C(=O)C(NC(C)=O)c2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00342698,Clc1cccc(NC(=O)C2=NOC3(C2)CCCN(C3)S(=O)(=O)c2ccccc2)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00347322,CC1N(CC2CC2)C(=O)COC11CCN(CC1)Cc1ccsc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00353073,CC1C=NC(=N1)S(=O)(=O)N1CC[C@@H]2[C@H]1c1cc(ccc1N(C)[C@@H]2CO)-c1ccc(F)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00366875,CN(C)C(=O)CC1CC2(CCN(CC2)C(=O)Nc2cccc(C)c2)Oc2ccccc12,1,0,0,0,1,1,1,1,0,1,1,0,1
A00371140,CC(NC(=O)CCNS(=O)(=O)c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00375616,OCCN1CC2(C1)CCC(O2)C(=O)Nc1cccc(F)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00406750,Cc1ccc(CN2CCCC3(CC(CO3)n3ccnc3)C2)o1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00408057,COCC1CCC2(CCN(CC2)S(C)(=O)=O)N1CC1CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00420742,CC(C)CC(NS(=O)(=O)c1ccc2n(C)c(=O)oc2c1)C(=O)NCc1cccnc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00433200,CC(C)CN1C[C@@H]2CCN(CC[C@H]2S1(=O)=O)C(=O)C1CCCO1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00441873,CC(C)CN1C2CCN(C2CC1=O)S(=O)(=O)c1cn(C)cn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00449636,CC1CC(C)CN(C1)C1CCN(Cc2cccnc2)CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00481216,Cc1nnn2CC(CNCc3cc(C)cc(C)c3)COCc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00487417,CC(C)NC(=O)CC1CC2(CCN(Cc3cnn(C)c3)CC2)Oc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00517390,CN1CC2(C)CN(CC(C)(C1)C2O)C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00525143,Fc1ccccc1N1CCN(CC1)C1CCCN(C1)C(=O)Cn1cccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00527063,CC(NC(=O)c1cccs1)C(N1CCN(Cc2ccccc2)CC1)c1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
